momento_hecho,edad,sexo,clase_victima,vehiculo_victima,tipo_via,tipo_incidente,clima,fatal
Diurno,37,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,35,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,71,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Nublado,1
Nocturno,19,Masculino,Conductor,Automovil,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,25,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,21,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Nublado,1
Diurno,28,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,41,Masculino,Conductor,Motocicleta,Autopista nacional,Colision vehiculo/Vehiculo,Llovizna,1
Nocturno,55,Masculino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Bueno,1
Diurno,38,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Lluvia,1
Diurno,14,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Lluvia,1
Diurno,33,Masculino,Conductor,Motocicleta,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,33,Masculino,Conductor,Motocicleta,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,50,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,38,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Nublado,1
Diurno,57,Femenino,Peaton,Peaton,Ruta nacional,Colision vehiculo/Persona,Bueno,1
Diurno,23,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,45,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Llovizna,1
Diurno,36,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Nublado,1
Diurno,66,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Nublado,1
Diurno,70,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Nublado,1
Diurno,20,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Otro,1
